Dataset,Target,Condition,Run,Model,RMSE,PICP80_%,n_windows
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,0,TiRex,0.001862637593033634,80.31963470319636,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,1,Chronos-2,0.001799081383420066,76.7351598173516,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,1,TimesFM-2.5,0.0018400860144556178,80.29680365296804,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,1,TiRex,0.0018476347582111825,80.06849315068493,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,2,Chronos-2,0.0018118001321549121,75.79908675799086,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,2,TimesFM-2.5,0.0018523073431640725,79.74885844748857,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,2,TiRex,0.0018466972557516033,79.81735159817352,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,3,Chronos-2,0.0017939383778894375,76.91780821917808,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,3,TimesFM-2.5,0.0018181741503560174,80.31963470319636,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,3,TiRex,0.0018378197986586972,80.38812785388127,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,4,Chronos-2,0.0018079516046612557,77.12328767123287,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,4,TimesFM-2.5,0.001837417929044814,80.4337899543379,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,4,TiRex,0.0018461540071011927,80.59360730593608,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,5,Chronos-2,0.0018126655792045775,76.16438356164383,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,5,TimesFM-2.5,0.0018608879283018812,80.52511415525115,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,5,TiRex,0.001847372483781113,81.21004566210046,73
anomaly_free,Accelerometer1RMS,PAI +3σ at 1%,6,Chronos-2,0.0017768773532567735,77.14611872146119,73
